,open,high,low,close,volume,symbol,sma_5,sma_20,sma_50,daily_return,volatility,momentum_5,momentum_20,volume_change,hl_spread
2025-08-27,502.0,507.29,499.9,506.74,17277893.0,MSFT,504.90199999999993,518.008,,0.009361803840331362,0.013855333067551169,0.0020169263624139067,-0.012664640324214771,-0.43967907467280876,0.014583415558274545
2025-08-28,507.09,511.09,505.5,509.64,18015593.0,MSFT,505.9820000000001,516.815,,0.005722855902435153,0.010331498502538658,0.010709186101856227,-0.04472352389878165,0.042696178289794995,0.010968526803233606
2025-08-29,508.66,509.6,504.4915,506.69,20961569.0,MSFT,505.87399999999997,515.9440000000001,,-0.005788399654658161,0.009726763733562878,-0.001064605800130125,-0.033237297513880715,0.16352367640632193,0.010082101482168681
2025-09-02,500.465,506.0,496.81,505.12,18127995.0,MSFT,506.046,514.418,,-0.00309854151453548,0.007977652953568884,0.001705469400705928,-0.05697856769472032,-0.13517948012383996,0.01819369654735508
2025-09-03,503.79,507.79,502.32,505.35,15995154.0,MSFT,506.70799999999997,513.298,,0.0004553373455813414,0.007500724156798008,0.0065931001513823695,-0.04244433917574608,-0.11765454480763038,0.01082418126051257
2025-09-04,504.3,508.15,503.15,507.97,15509486.0,MSFT,506.954,512.4495,,0.005184525576333199,0.007632793016004901,0.0024272802620672884,-0.03232750409570617,-0.03036344632880683,0.009843100970529756
2025-09-05,509.07,511.97,492.37,495.0,31994846.0,MSFT,504.026,511.15749999999997,,-0.025533003917554198,0.009247898510754827,-0.028726159642100235,-0.04961216496428855,1.0629211051868515,0.03959595959595964
2025-09-08,498.105,501.195,495.03,498.2,16771015.0,MSFT,502.328,509.96549999999996,,0.006464646464646506,0.00940708403235695,-0.016755807298348135,-0.04566699869741775,-0.4758213557271068,0.01237454837414697
2025-09-09,501.43,502.25,497.7,498.41,14410542.0,MSFT,500.98600000000005,508.7975,,0.00042151746286633873,0.009418740559321834,-0.013283972125435528,-0.04477068440117282,-0.1407471760057456,0.009129030316406194
2025-09-10,502.98,503.2299,496.72,500.37,21611816.0,MSFT,499.98999999999995,507.354,,0.0039325053670671295,0.00871785436279655,-0.009854556248144908,-0.054549920640919014,0.4997226336108662,0.013010172472370364
2025-09-11,502.25,503.17,497.88,501.01,18881608.0,MSFT,498.59799999999996,506.37549999999993,,0.0012790535004096881,0.008143067226252366,-0.013701596550977468,-0.03759268508202396,-0.12632941165147804,0.010558671483603163
2025-09-12,506.65,512.55,503.85,509.9,23624884.0,MSFT,501.578,505.7465,510.39239999999995,0.01774415680325747,0.009189645835136833,0.030101010101009962,-0.02407747664982396,0.2512114434321484,0.01706216905275531
2025-09-15,508.79,515.47,507.0,515.36,17143786.0,MSFT,505.01000000000005,505.506,510.7228,0.010707981957246648,0.009525153571698657,0.0344439983942193,-0.009246976949843222,-0.2743335374683744,0.016435113318845132
2025-09-16,516.88,517.23,508.6,509.04,19711922.0,MSFT,507.1360000000001,505.10299999999995,510.94919999999996,-0.012263272275690795,0.009819467145247496,0.021327822475472047,-0.01558692709340559,0.1497998166799328,0.016953481062391945
2025-09-17,510.62,511.29,505.93,510.02,15816585.0,MSFT,509.066,505.11550000000005,511.2172,0.0019251925192518282,0.009306555071586767,0.019285728560864968,0.000490417246993724,-0.19761325151347497,0.010509391788557339
2025-09-18,511.49,513.07,507.66,508.45,18913696.0,MSFT,510.554,505.25199999999995,511.31600000000003,-0.003078310654484162,0.009148365281251819,0.014850002993952227,0.005398244087637449,0.19581414066310776,0.010640180942078917
2025-09-19,510.56,519.3,510.31,517.93,52474093.0,MSFT,512.16,505.93649999999997,511.6450000000001,0.018644901170223216,0.009980565706970002,0.015748185918807556,0.02714976995081697,1.7743965536931543,0.017357557971154312
2025-09-22,515.59,517.74,512.545,514.45,20009314.0,MSFT,511.97799999999995,506.2975,511.8675999999999,-0.006719054698511195,0.010077889304043611,-0.0017657559764048258,0.014234173846184195,-0.6186820418220473,0.010098163086791815
2025-09-23,513.8,514.5899,507.31,509.23,19799580.0,MSFT,512.016,506.546,511.9918,-0.010146758674312473,0.01026990197977505,0.0003732516108754247,0.009856026652917294,-0.010481818617069982,0.014295897727942071
2025-09-24,510.38,512.48,506.92,510.15,13533711.0,MSFT,512.042,506.9515,512.0784,0.0018066492547570423,0.010206257799956712,0.00025489196502093137,0.016154091307465368,-0.3164647431915223,0.010898755268058419
2025-09-25,508.3,510.01,505.04,507.03,15786468.0,MSFT,511.758,506.966,512.1066,-0.006115848279917735,0.010113350826828413,-0.002792801652079846,0.0005722855902434709,0.16645523168035736,0.009802181330493208
